ENGLISH,IDGLOSS,SN,SENSE,RECNUMB,TOPIC
"club","club.2",6.1310000000000000e+03," ",3.6480000000000000e+03,0
"bell","ring.bell",6.1320000000000000e+03," ",3.6490000000000000e+03,0
"alarm","ring.bell",6.1320000000000000e+03," ",3.6490000000000000e+03,0
"ring","ring.bell",6.1320000000000000e+03," ",3.6490000000000000e+03,0
"marbles","marble",6.1330000000000000e+03," ",3.6500000000000000e+03,41
"marble","marble",6.1330000000000000e+03," ",3.6500000000000000e+03,41
"jockey","jockey",6.1340000000000000e+03," ",3.6510000000000000e+03,41
"whip","jockey",6.1340000000000000e+03," ",3.6510000000000000e+03,41
"whip","whip.1",6.1341000000000004e+03," ",3.6520000000000000e+03,0
"convertible","convertible.1",6.1350000000000000e+03," ",3.6530000000000000e+03,7
"tantrum","pissed.off",6.1370000000000000e+03," ",3.6540000000000000e+03,0
"temper tantrum","pissed.off",6.1370000000000000e+03," ",3.6540000000000000e+03,0
"angry","pissed.off",6.1370000000000000e+03," ",3.6540000000000000e+03,0
"furious","pissed.off",6.1370000000000000e+03," ",3.6540000000000000e+03,0
"pissed off","pissed.off",6.1370000000000000e+03," ",3.6540000000000000e+03,0
"telephone","telephone.4",6.1380000000000000e+03," ",3.6550000000000000e+03,16
"call","telephone.4",6.1380000000000000e+03," ",3.6550000000000000e+03,16
"celebration","celebrate.1a",6.1390000000000000e+03," ",3.6560000000000000e+03,0
"cheering","celebrate.1a",6.1390000000000000e+03," ",3.6560000000000000e+03,0
"anniversary","celebrate.1a",6.1390000000000000e+03," ",3.6560000000000000e+03,0
"celebrate","celebrate.1a",6.1390000000000000e+03," ",3.6560000000000000e+03,0
"rejoice","celebrate.1a",6.1390000000000000e+03," ",3.6560000000000000e+03,0
"cheer","celebrate.1a",6.1390000000000000e+03," ",3.6560000000000000e+03,0
"victorious","celebrate.1a",6.1390000000000000e+03," ",3.6560000000000000e+03,0
"win","celebrate.1a",6.1390000000000000e+03," ",3.6560000000000000e+03,0
"hooray","celebrate.1a",6.1390000000000000e+03," ",3.6560000000000000e+03,0
"hallelujah","hallelujah",6.1391000000000004e+03," ",3.6570000000000000e+03,42
"hood","parka",6.1400000000000000e+03," ",3.6580000000000000e+03,9
"parka","parka",6.1400000000000000e+03," ",3.6580000000000000e+03,9
"goal umpire","goal-umpire",6.1410000000000000e+03," ",3.6590000000000000e+03,48
"linesman","goal-umpire",6.1410000000000000e+03," ",3.6590000000000000e+03,48
"Venetian blind","venetian.blinds.2",6.1420000000000000e+03," ",3.6600000000000000e+03,20
"facial expression","facial.expression.1a",6.1440000000000000e+03," ",3.6610000000000000e+03,0
"express","facial.expression.1a",6.1440000000000000e+03," ",3.6610000000000000e+03,0
"expressive","facial.expression.1a",6.1440000000000000e+03," ",3.6610000000000000e+03,0
"film","film.5",6.1460000000000000e+03," ",3.6620000000000000e+03,5
"movie","film.5",6.1460000000000000e+03," ",3.6620000000000000e+03,5
"picture","film.5",6.1460000000000000e+03," ",3.6620000000000000e+03,5
"plait","plait.2",6.1470000000000000e+03,"1",3.6630000000000000e+03,25
"braid","plait.2",6.1470000000000000e+03,"1",3.6630000000000000e+03,25
"plaited","plait.2",6.1470000000000000e+03,"1",3.6630000000000000e+03,25
"braided","plait.2",6.1470000000000000e+03,"1",3.6630000000000000e+03,25
"hairdresser","hairdresser.2",6.1480000000000000e+03,"2",3.6640000000000000e+03,25
"trombone","trombone",6.1490000000000000e+03," ",3.6650000000000000e+03,0
"testimony","testimony",6.1500000000000000e+03," ",3.6660000000000000e+03,42
"scarf","head-scarf",6.1510000000000000e+03," ",3.6670000000000000e+03,9
"head scarf","head-scarf",6.1510000000000000e+03," ",3.6670000000000000e+03,9
"carpenter","carpenter.2a",6.1520000000000000e+03," ",3.6680000000000000e+03,52
"carpentry","carpenter.2a",6.1520000000000000e+03," ",3.6680000000000000e+03,52
"hammer","carpenter.2a",6.1520000000000000e+03," ",3.6680000000000000e+03,52
"sculpture","sculpture.1",6.1530000000000000e+03," ",3.6690000000000000e+03,5
"sculptor","sculpture.1",6.1530000000000000e+03," ",3.6690000000000000e+03,5
"sculpt","sculpture.1",6.1530000000000000e+03," ",3.6690000000000000e+03,5
"carve","sculpture.1",6.1530000000000000e+03," ",3.6690000000000000e+03,5
"team","team",6.1550000000000000e+03," ",3.6700000000000000e+03,48
"curtain","curtains.close",6.1560000000000000e+03," ",3.6710000000000000e+03,0
"curtain","curtains.open",6.1570000000000000e+03," ",3.6720000000000000e+03,0
"curtain","curtains",6.1580000000000000e+03," ",3.6730000000000000e+03,20
"cupboard","cupboard.open",6.1590000000000000e+03," ",3.6740000000000000e+03,0
"cupboard","cupboard.close",6.1600000000000000e+03," ",3.6750000000000000e+03,0
"cupboard","cupboard",6.1610000000000000e+03," ",3.6760000000000000e+03,20
"cabinet","cupboard",6.1610000000000000e+03," ",3.6760000000000000e+03,20
"try","try.2",6.1620000000000000e+03," ",3.6770000000000000e+03,48
"worth","worth.1",6.1630000000000000e+03," ",3.6780000000000000e+03,0
"value","worth.1",6.1630000000000000e+03," ",3.6780000000000000e+03,0
"worthwhile","worth.1",6.1630000000000000e+03," ",3.6780000000000000e+03,0
"valuable","worth.1",6.1630000000000000e+03," ",3.6780000000000000e+03,0
"valued","worth.1",6.1630000000000000e+03," ",3.6780000000000000e+03,0
"fishing","fishing",6.1650000000000000e+03," ",3.6790000000000000e+03,41
"test","test",6.1670000000000000e+03," ",3.6800000000000000e+03,15
"roll-your-own","roll-your-own",6.1690000000000000e+03," ",3.6810000000000000e+03,0
"rollie","roll-your-own",6.1690000000000000e+03," ",3.6810000000000000e+03,0
"drum","drum.2",6.1700000000000000e+03,"1",3.6820000000000000e+03,0
"drummer","drum.2",6.1700000000000000e+03,"1",3.6820000000000000e+03,0
"developing","develop.2",6.1710000000000000e+03,"2",3.6830000000000000e+03,0
"developer","develop.2",6.1710000000000000e+03,"2",3.6830000000000000e+03,0
"develop","develop.2",6.1710000000000000e+03,"2",3.6830000000000000e+03,0
"xylophone","xylophone.1",6.1730000000000000e+03," ",3.6840000000000000e+03,0
"drum","xylophone.1",6.1730000000000000e+03," ",3.6840000000000000e+03,0
"drums","xylophone.1",6.1730000000000000e+03," ",3.6840000000000000e+03,0
"knot","knot.1a",6.1740000000000000e+03," ",3.6850000000000000e+03,0
"tie","knot.1a",6.1740000000000000e+03," ",3.6850000000000000e+03,0
"tie up","knot.1a",6.1740000000000000e+03," ",3.6850000000000000e+03,0
"control","control.1",6.1750000000000000e+03,"1",3.6860000000000000e+03,0
"steering","control.1",6.1750000000000000e+03,"1",3.6860000000000000e+03,0
"steering committee","control.1",6.1750000000000000e+03,"1",3.6860000000000000e+03,0
"facilitator","control.1",6.1750000000000000e+03,"1",3.6860000000000000e+03,0
"steer","control.1",6.1750000000000000e+03,"1",3.6860000000000000e+03,0
"direct","control.1",6.1750000000000000e+03,"1",3.6860000000000000e+03,0
"facilitate","control.1",6.1750000000000000e+03,"1",3.6860000000000000e+03,0
"switchboard","reception",6.1760000000000000e+03,"2",3.6870000000000000e+03,52
"switch","reception",6.1760000000000000e+03,"2",3.6870000000000000e+03,52
"reception","reception",6.1760000000000000e+03,"2",3.6870000000000000e+03,52
"receptionist","reception",6.1760000000000000e+03,"2",3.6870000000000000e+03,52
"cart","cart",6.1770000000000000e+03," ",3.6880000000000000e+03,0
"sulky","cart",6.1770000000000000e+03," ",3.6880000000000000e+03,0
"reins","cart",6.1770000000000000e+03," ",3.6880000000000000e+03,0
"trots","cart",6.1770000000000000e+03," ",3.6880000000000000e+03,0
"trotting","cart",6.1770000000000000e+03," ",3.6880000000000000e+03,0
"bridesmaid","bridesmaid.2",6.1780000000000000e+03," ",3.6890000000000000e+03,0
"train","bridesmaid.2",6.1780000000000000e+03," ",3.6890000000000000e+03,0
"retirement","retire.1a",6.1800000000000000e+03," ",3.6900000000000000e+03,52
"resignation","retire.1a",6.1800000000000000e+03," ",3.6900000000000000e+03,52
"retire","retire.1a",6.1800000000000000e+03," ",3.6900000000000000e+03,52
"resign","retire.1a",6.1800000000000000e+03," ",3.6900000000000000e+03,52
"zip","zip.close",6.1820000000000000e+03," ",3.6910000000000000e+03,0
"zip up","zip.close",6.1820000000000000e+03," ",3.6910000000000000e+03,0
"unzip","zip.open",6.1830000000000000e+03," ",3.6920000000000000e+03,0
"zipper","zip.1a",6.1840000000000000e+03," ",3.6930000000000000e+03,9
"jacket","zip.1a",6.1840000000000000e+03," ",3.6930000000000000e+03,9
"windcheater","zip.1a",6.1840000000000000e+03," ",3.6930000000000000e+03,9
"track suit","zip.1a",6.1840000000000000e+03," ",3.6930000000000000e+03,9
"technique","technique.2",6.1850000000000000e+03," ",3.6940000000000000e+03,0
"wheelbarrow","wheelbarrow",6.1870000000000000e+03," ",3.6950000000000000e+03,21
"barrow","wheelbarrow",6.1870000000000000e+03," ",3.6950000000000000e+03,21
"fly","fly.close",6.1880000000000000e+03," ",3.6960000000000000e+03,0
"fly","fly.open",6.1890000000000000e+03," ",3.6970000000000000e+03,0
"fly","fly.3",6.1900000000000000e+03," ",3.6980000000000000e+03,9
"pants","fly.3",6.1900000000000000e+03," ",3.6980000000000000e+03,9
"trousers","fly.3",6.1900000000000000e+03," ",3.6980000000000000e+03,9
"jeans","fly.3",6.1900000000000000e+03," ",3.6980000000000000e+03,9
"presentation","award",6.1930000000000000e+03," ",3.6990000000000000e+03,0
"award","award",6.1930000000000000e+03," ",3.6990000000000000e+03,0
"reward","award",6.1930000000000000e+03," ",3.6990000000000000e+03,0
"present","award",6.1930000000000000e+03," ",3.6990000000000000e+03,0
"hand over","award",6.1930000000000000e+03," ",3.6990000000000000e+03,0
"supply","supply",6.1940000000000000e+03," ",3.7000000000000000e+03,0
"provide","supply",6.1940000000000000e+03," ",3.7000000000000000e+03,0
"trade in","trade.in.1a",6.1950000000000000e+03," ",3.7010000000000000e+03,47
"exchange","trade.in.1a",6.1950000000000000e+03," ",3.7010000000000000e+03,47
"conversion","trade.in.1a",6.1950000000000000e+03," ",3.7010000000000000e+03,47
"transformation","trade.in.1a",6.1950000000000000e+03," ",3.7010000000000000e+03,47
"convert","trade.in.1a",6.1950000000000000e+03," ",3.7010000000000000e+03,47
"transform","trade.in.1a",6.1950000000000000e+03," ",3.7010000000000000e+03,47
"tear","tear.1a",6.1960000000000000e+03," ",3.7020000000000000e+03,0
"rip","tear.1a",6.1960000000000000e+03," ",3.7020000000000000e+03,0
"licence","tear.1a",6.1960000000000000e+03," ",3.7020000000000000e+03,0
"tape measure","tape.measure",6.1990000000000000e+03," ",3.7030000000000000e+03,0
"cloth","fabric.1a",6.2000000000000000e+03," ",3.7040000000000000e+03,31
"fabric","fabric.1a",6.2000000000000000e+03," ",3.7040000000000000e+03,31
"material","fabric.1a",6.2000000000000000e+03," ",3.7040000000000000e+03,31
"sock","sock",6.2010000000000000e+03," ",3.7050000000000000e+03,9
"slippers","sock",6.2010000000000000e+03," ",3.7050000000000000e+03,9
"boots","sock",6.2010000000000000e+03," ",3.7050000000000000e+03,9
"condom","condom.1",6.2030000000000000e+03," ",3.7060000000000000e+03,45
"skipping rope","skip.1",6.2040000000000000e+03," ",3.7070000000000000e+03,41
"skipping","skip.1",6.2040000000000000e+03," ",3.7070000000000000e+03,41
"skip","skip.1",6.2040000000000000e+03," ",3.7070000000000000e+03,41
"apron","apron",6.2050000000000000e+03," ",3.7080000000000000e+03,9
"distribution","distribute.1a",6.2060000000000000e+03," ",3.7090000000000000e+03,0
"release","distribute.1a",6.2060000000000000e+03," ",3.7090000000000000e+03,0
"launch","distribute.1a",6.2060000000000000e+03," ",3.7090000000000000e+03,0
"send out","distribute.1a",6.2060000000000000e+03," ",3.7090000000000000e+03,0
"distribute","distribute.1a",6.2060000000000000e+03," ",3.7090000000000000e+03,0
"provide","distribute.1a",6.2060000000000000e+03," ",3.7090000000000000e+03,0
"spendthrift","spendthrift",6.2091000000000004e+03," ",3.7100000000000000e+03,36
"feeding","feed.1a",6.2140000000000000e+03," ",3.7110000000000000e+03,14
"feed","feed.1a",6.2140000000000000e+03," ",3.7110000000000000e+03,14
"upbringing","bring.up",6.2160000000000000e+03," ",3.7120000000000000e+03,0
"raising","bring.up",6.2160000000000000e+03," ",3.7120000000000000e+03,0
"rearing","bring.up",6.2160000000000000e+03," ",3.7120000000000000e+03,0
"bring up","bring.up",6.2160000000000000e+03," ",3.7120000000000000e+03,0
"raise","bring.up",6.2160000000000000e+03," ",3.7120000000000000e+03,0
"rear","bring.up",6.2160000000000000e+03," ",3.7120000000000000e+03,0
"pressure cooker","pressure cooker",6.2170000000000000e+03," ",3.7130000000000000e+03,11
"waffle-iron","waffle-iron",6.2180000000000000e+03," ",3.7140000000000000e+03,11
"waffle-maker","waffle-iron",6.2180000000000000e+03," ",3.7140000000000000e+03,11
"stockings","stockings.1a",6.2190000000000000e+03," ",3.7150000000000000e+03,9
"underpants","briefs.on",6.2200000000000000e+03," ",3.7160000000000000e+03,0
"briefs","briefs.on",6.2200000000000000e+03," ",3.7160000000000000e+03,0
"panties","briefs.on",6.2200000000000000e+03," ",3.7160000000000000e+03,0
"knickers","briefs.on",6.2200000000000000e+03," ",3.7160000000000000e+03,0
"briefs","briefs.off",6.2210000000000000e+03," ",3.7170000000000000e+03,0
"briefs","briefs",6.2220000000000000e+03," ",3.7180000000000000e+03,9
"pants","briefs",6.2220000000000000e+03," ",3.7180000000000000e+03,9
"panties","briefs",6.2220000000000000e+03," ",3.7180000000000000e+03,9
"knickers","briefs",6.2220000000000000e+03," ",3.7180000000000000e+03,9
"toothpaste","toothpaste",6.2260000000000000e+03," ",3.7190000000000000e+03,25
"bother","bother.1a",6.2270000000000000e+03," ",3.7200000000000000e+03,0
"not bother","bother.1a",6.2270000000000000e+03," ",3.7200000000000000e+03,0
"not care","bother.1a",6.2270000000000000e+03," ",3.7200000000000000e+03,0
"lacrosse","lacrosse",6.2280000000000000e+03," ",3.7210000000000000e+03,48
"before","series.before.that",6.2300000000000000e+03," ",3.7220000000000000e+03,0
"prior","series.prior.to.that",6.2310000000000000e+03," ",3.7230000000000000e+03,0
"series","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"sequence","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"succession","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"serial","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"sequential","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"consecutive","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"successive","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"successively","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"sequentially","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"serially","series.1a",6.2320000000000000e+03," ",3.7240000000000000e+03,0
"promiscuous","promiscuous.1",6.2340000000000000e+03," ",3.7250000000000000e+03,45
"score","score.2",6.2360000000000000e+03," ",3.7260000000000000e+03,0
"tribulation","tribulation",6.2370000000000000e+03," ",3.7270000000000000e+03,42
"ice-skates","ice-skating.2",6.2390000000000000e+03," ",3.7280000000000000e+03,48
"billiards","snooker",6.2410000000000000e+03," ",3.7290000000000000e+03,41
"snooker","snooker",6.2410000000000000e+03," ",3.7290000000000000e+03,41
"deal","deal.cards.1a",6.2430000000000000e+03," ",3.7300000000000000e+03,41
"dealer","deal.cards.1a",6.2430000000000000e+03," ",3.7300000000000000e+03,41
"cards","deal.cards.1a",6.2430000000000000e+03," ",3.7300000000000000e+03,41
"expenses","spend.1a",6.2450000000000000e+03," ",3.7310000000000000e+03,33
"expenditure","spend.1a",6.2450000000000000e+03," ",3.7310000000000000e+03,33
"spend","spend.1a",6.2450000000000000e+03," ",3.7310000000000000e+03,33
"payment","pay",6.2470000000000000e+03," ",3.7320000000000000e+03,33
"funds","pay",6.2470000000000000e+03," ",3.7320000000000000e+03,33
"funding","pay",6.2470000000000000e+03," ",3.7320000000000000e+03,33
"sponsor","pay",6.2470000000000000e+03," ",3.7320000000000000e+03,33
"pay","pay",6.2470000000000000e+03," ",3.7320000000000000e+03,33
"fund","pay",6.2470000000000000e+03," ",3.7320000000000000e+03,33
"repayment","repayments",6.2480000000000000e+03," ",3.7330000000000000e+03,47
"instalment","repayments",6.2480000000000000e+03," ",3.7330000000000000e+03,47
"repay","repayments",6.2480000000000000e+03," ",3.7330000000000000e+03,47
"pay off","repayments",6.2480000000000000e+03," ",3.7330000000000000e+03,47
"contribution","donate.1a",6.2490000000000000e+03," ",3.7340000000000000e+03,0
"donation","donate.1a",6.2490000000000000e+03," ",3.7340000000000000e+03,0
"contribute","donate.1a",6.2490000000000000e+03," ",3.7340000000000000e+03,0
"donate","donate.1a",6.2490000000000000e+03," ",3.7340000000000000e+03,0
"dues","member.1a",6.2500000000000000e+03," ",3.7350000000000000e+03,0
"membership","member.1a",6.2500000000000000e+03," ",3.7350000000000000e+03,0
"subscription","member.1a",6.2500000000000000e+03," ",3.7350000000000000e+03,0
"member","member.1a",6.2500000000000000e+03," ",3.7350000000000000e+03,0
"subscriber","member.1a",6.2500000000000000e+03," ",3.7350000000000000e+03,0
"subscribe","member.1a",6.2500000000000000e+03," ",3.7350000000000000e+03,0
"panel beater","panel beater.1a",6.2590000000000000e+03," ",3.7360000000000000e+03,7
"panel beating","panel beater.1a",6.2590000000000000e+03," ",3.7360000000000000e+03,7
"lock","lock.1a",6.2610000000000000e+03," ",3.7370000000000000e+03,0
"key","lock.1a",6.2610000000000000e+03," ",3.7370000000000000e+03,0
"ignition","lock.1a",6.2610000000000000e+03," ",3.7370000000000000e+03,0
"lock up","lock.1a",6.2610000000000000e+03," ",3.7370000000000000e+03,0
"unlock","unlock",6.2620000000000000e+03," ",3.7380000000000000e+03,0
"testament","testament",6.2651000000000004e+03," ",3.7390000000000000e+03,42
"bricklayer","bricklayer",6.2670000000000000e+03," ",3.7400000000000000e+03,52
"barman","barman",6.2680000000000000e+03," ",3.7410000000000000e+03,14
"barmaid","barman",6.2680000000000000e+03," ",3.7410000000000000e+03,14
"cook","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"cooking","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"mixture","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"stirring","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"mixing","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"beating","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"whipping","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"whisking","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"stir","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"mix","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"beat","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"whip","cook.2",6.2690000000000000e+03," ",3.7420000000000000e+03,11
"teaspoon","teaspoon",6.2700000000000000e+03," ",3.7430000000000000e+03,14
"stir","teaspoon",6.2700000000000000e+03," ",3.7430000000000000e+03,14
"can-opener","tin-opener",6.2710000000000000e+03," ",3.7440000000000000e+03,21
"tin-opener","tin-opener",6.2710000000000000e+03," ",3.7440000000000000e+03,21
"champagne","champagne",6.2720000000000000e+03," ",3.7450000000000000e+03,14
"gunfire","gun.fire",6.2721999999999998e+03," ",3.7460000000000000e+03,0
"reel","reel",6.2723000000000002e+03," ",3.7470000000000000e+03,41
"fishing rod","reel",6.2723000000000002e+03," ",3.7470000000000000e+03,41
"fishing","reel",6.2723000000000002e+03," ",3.7470000000000000e+03,41
"marijuana","smoke.dope.2",6.2730000000000000e+03," ",3.7480000000000000e+03,0
"hashish","smoke.dope.2",6.2730000000000000e+03," ",3.7480000000000000e+03,0
"dope","smoke.dope.2",6.2730000000000000e+03," ",3.7480000000000000e+03,0
"smoke","smoke.dope.2",6.2730000000000000e+03," ",3.7480000000000000e+03,0
"hash","smoke.dope.2",6.2730000000000000e+03," ",3.7480000000000000e+03,0
"star","star.1a",6.2740000000000000e+03," ",3.7490000000000000e+03,22
"starry","star.1a",6.2740000000000000e+03," ",3.7490000000000000e+03,22
"twinkle","star.1a",6.2740000000000000e+03," ",3.7490000000000000e+03,22
"craziness","crazy.3a",6.2780000000000000e+03," ",3.7500000000000000e+03,36
"recklessness","crazy.3a",6.2780000000000000e+03," ",3.7500000000000000e+03,36
"crazy","crazy.3a",6.2780000000000000e+03," ",3.7500000000000000e+03,36
"reckless","crazy.3a",6.2780000000000000e+03," ",3.7500000000000000e+03,36
"careless","crazy.3a",6.2780000000000000e+03," ",3.7500000000000000e+03,36
"dreamy","crazy.3a",6.2780000000000000e+03," ",3.7500000000000000e+03,36
"intoxicated","crazy.3a",6.2780000000000000e+03," ",3.7500000000000000e+03,36
"fluke","fluke",6.2790000000000000e+03," ",3.7510000000000000e+03,0
"accidentally","fluke",6.2790000000000000e+03," ",3.7510000000000000e+03,0
"pepper","pepper.2",6.2800000000000000e+03," ",3.7520000000000000e+03,19
"hay fever","hay fever.1",6.2801000000000004e+03," ",3.7530000000000000e+03,26
"amphetamine","speed.3",6.2810000000000000e+03," ",3.7540000000000000e+03,0
"speed","speed.3",6.2810000000000000e+03," ",3.7540000000000000e+03,0
"show-off","show-off.1",6.2820000000000000e+03," ",3.7550000000000000e+03,0
"show off","show-off.1",6.2820000000000000e+03," ",3.7550000000000000e+03,0
"in case","in.case",6.2830000000000000e+03," ",3.7560000000000000e+03,0
"determined","determined.3a",6.2860000000000000e+03," ",3.7570000000000000e+03,32
"resolve","determined.3a",6.2860000000000000e+03," ",3.7570000000000000e+03,32
"Saturday","Saturday",6.2890000000000000e+03,"1",3.7580000000000000e+03,12
"silver","silver.2a",6.2900000000000000e+03,"2",3.7590000000000000e+03,10
"spaghetti","spaghetti.2a",6.2910000000000000e+03," ",3.7600000000000000e+03,19
"homosexual","gay",6.2950000000000000e+03," ",3.7610000000000000e+03,45
"homosexuality","gay",6.2950000000000000e+03," ",3.7610000000000000e+03,45
"gay","gay",6.2950000000000000e+03," ",3.7610000000000000e+03,45
"send off","send.off",6.2960000000000000e+03," ",3.7620000000000000e+03,48
"dismiss","send.off",6.2960000000000000e+03," ",3.7620000000000000e+03,48
"out","send.off",6.2960000000000000e+03," ",3.7620000000000000e+03,48
"Ireland","Ireland.1",6.2980000000000000e+03," ",3.7630000000000000e+03,8
"Irish","Ireland.1",6.2980000000000000e+03," ",3.7630000000000000e+03,8
"spoil","spoil.1a",6.3030000000000000e+03," ",3.7650000000000000e+03,0
"damage","spoil.1a",6.3030000000000000e+03," ",3.7650000000000000e+03,0
"ruin","spoil.1a",6.3030000000000000e+03," ",3.7650000000000000e+03,0
"ready","ready.1a",6.3040000000000000e+03," ",3.7660000000000000e+03,0
"already","ready.1a",6.3040000000000000e+03," ",3.7660000000000000e+03,0
"insect","pest",6.3070000000000000e+03," ",3.7670000000000000e+03,3
"bug","pest",6.3070000000000000e+03," ",3.7670000000000000e+03,3
"pest","pest",6.3070000000000000e+03," ",3.7670000000000000e+03,3
"blessing","bless.1",6.3120000000000000e+03," ",3.7680000000000000e+03,42
"bless","bless.1",6.3120000000000000e+03," ",3.7680000000000000e+03,42
"Australia","Australia.1",6.3140000000000000e+03," ",3.7690000000000000e+03,8
"Australian","Australia.1",6.3140000000000000e+03," ",3.7690000000000000e+03,8
"start","start.1a",6.3160000000000000e+03," ",3.7700000000000000e+03,0
"commencement","start.1a",6.3160000000000000e+03," ",3.7700000000000000e+03,0
"beginning","start.1a",6.3160000000000000e+03," ",3.7700000000000000e+03,0
"commence","start.1a",6.3160000000000000e+03," ",3.7700000000000000e+03,0
"begin","start.1a",6.3160000000000000e+03," ",3.7700000000000000e+03,0
"preparation","prepare",6.3180000000000000e+03," ",3.7710000000000000e+03,0
"prepare","prepare",6.3180000000000000e+03," ",3.7710000000000000e+03,0
"get ready","prepare",6.3180000000000000e+03," ",3.7710000000000000e+03,0
"squish","squish",6.3200000000000000e+03," ",3.7720000000000000e+03,48
"importance","important.1a",6.3220000000000000e+03," ",3.7740000000000000e+03,27
"important","important.1a",6.3220000000000000e+03," ",3.7740000000000000e+03,27
"crystal","crystal",6.3240000000000000e+03," ",3.7750000000000000e+03,31
"bracelet","bracelet.bangle.1a",6.3260000000000000e+03," ",3.7760000000000000e+03,9
"bangle","bracelet.bangle.1a",6.3260000000000000e+03," ",3.7760000000000000e+03,9
"separate","give.the.flick",6.3310000000000000e+03," ",3.7770000000000000e+03,0
"break up","give.the.flick",6.3310000000000000e+03," ",3.7770000000000000e+03,0
"film","film.2a",6.3340000000000000e+03," ",3.7780000000000000e+03,5
"movie","film.2a",6.3340000000000000e+03," ",3.7780000000000000e+03,5
"picture","film.2a",6.3340000000000000e+03," ",3.7780000000000000e+03,5
"flicks","film.2a",6.3340000000000000e+03," ",3.7780000000000000e+03,5
"cinema","film.2a",6.3340000000000000e+03," ",3.7780000000000000e+03,5
"project","film.2a",6.3340000000000000e+03," ",3.7780000000000000e+03,5
"hospital","hospital.2",6.3350000000000000e+03," ",3.7790000000000000e+03,26
"doctor","hospital.2",6.3350000000000000e+03," ",3.7790000000000000e+03,26
"understanding","understand.2",6.3360000000000000e+03," ",3.7800000000000000e+03,32
"comprehension","understand.2",6.3360000000000000e+03," ",3.7800000000000000e+03,32
"realisation","understand.2",6.3360000000000000e+03," ",3.7800000000000000e+03,32
"understand","understand.2",6.3360000000000000e+03," ",3.7800000000000000e+03,32
"comprehend","understand.2",6.3360000000000000e+03," ",3.7800000000000000e+03,32
"realise","understand.2",6.3360000000000000e+03," ",3.7800000000000000e+03,32
"wakefulness","wake",6.3380000000000000e+03," ",3.7830000000000000e+03,1
"consciousness","wake",6.3380000000000000e+03," ",3.7830000000000000e+03,1
"wake","wake",6.3380000000000000e+03," ",3.7830000000000000e+03,1
"awaken","wake",6.3380000000000000e+03," ",3.7830000000000000e+03,1
"awake","wake",6.3380000000000000e+03," ",3.7830000000000000e+03,1
"conscious","wake",6.3380000000000000e+03," ",3.7830000000000000e+03,1
"aware","wake",6.3380000000000000e+03," ",3.7830000000000000e+03,1
"alertness","alert.1a",6.3390000000000000e+03," ",3.7840000000000000e+03,18
"astonishment","alert.1a",6.3390000000000000e+03," ",3.7840000000000000e+03,18
"alert","alert.1a",6.3390000000000000e+03," ",3.7840000000000000e+03,18
"wide-awake","alert.1a",6.3390000000000000e+03," ",3.7840000000000000e+03,18
"astonished","alert.1a",6.3390000000000000e+03," ",3.7840000000000000e+03,18
"impressed","alert.1a",6.3390000000000000e+03," ",3.7840000000000000e+03,18
"flower","flower.1a",6.3410000000000000e+03," ",3.7850000000000000e+03,3
"garden","flower.1a",6.3410000000000000e+03," ",3.7850000000000000e+03,3
"gardening","flower.1a",6.3410000000000000e+03," ",3.7850000000000000e+03,3
"gardener","flower.1a",6.3410000000000000e+03," ",3.7850000000000000e+03,3
"florist","flower.1a",6.3410000000000000e+03," ",3.7850000000000000e+03,3
"nursery","flower.1a",6.3410000000000000e+03," ",3.7850000000000000e+03,3
"menstruation","flower.1a",6.3410000000000000e+03," ",3.7850000000000000e+03,3
"cross","cross.2",6.3430000000000000e+03," ",3.7860000000000000e+03,18
"angry","cross.2",6.3430000000000000e+03," ",3.7860000000000000e+03,18
"trick","trick.1a",6.3440000000000000e+03," ",3.7870000000000000e+03,0
"temptation","temptation.3",6.3450000000000000e+03," ",3.7880000000000000e+03,18
"tempt","temptation.3",6.3450000000000000e+03," ",3.7880000000000000e+03,18
"tempted","temptation.3",6.3450000000000000e+03," ",3.7880000000000000e+03,18
"gullible","temptation.3",6.3450000000000000e+03," ",3.7880000000000000e+03,18
